Rank,ASIN,Brand,Product,Price,Reviews,Rating,Keyword,volume,cpc_min,cpc_max
1,B0BQFXVGNZ,ALLWEI,ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W ,2488.0,138,4.4,ALLWEI LiFePO4,0,0.0,0.0
2,B0BQFWJ9JJ,ALLWEI,ALLWEI LiFePO4 Solar Generator 2400W with 2x 200W ,1648.0,138,4.4,ALLWEI LiFePO4,0,0.0,0.0
3,B0CZ3T561W,ALLWEI,ALLWEI LiFePO4 Solar Generator 1200W with 2 * 200W,1159.0,138,4.4,ALLWEI LiFePO4,0,0.0,0.0
4,B0CCJJSS4Y,ENGWE,ENGWE Upgrade Folding Electric Bicycle for Adults ,899.0,99,4.2,ENGWE Upgrade,10,0.0,0.0
5,B0CLNT8Y2G,ALLWEI,"ALLWEI LiFePO4 Portable Power Station 1200W, 1008W",589.0,1730,4.5,ALLWEI LiFePO4,0,0.0,0.0
6,B0CRLCHMDF,Open Goaaal,Open Goaaal Soccer Goal Net & Soccer Backstop Net ,499.99,557,4.3,Open Goaaal Soccer,170,27.55,192.45
7,B085QNDTMC,Open Goaaal,Open Goaaal Soccer Goal Net & Soccer Backstop Net ,329.99,559,4.3,Open Goaaal Soccer,170,27.55,192.45
8,B079THZYKF,Open Goaaal,Open Goaaal Soccer Goal Net & Soccer Backstop Net ,314.0,559,4.3,Open Goaaal Soccer,170,27.55,192.45
9,B0CVQVGZX5,FORM,FORM 48 Volt Golf Cart Battery Charger for EZGO RX,299.95,836,4.5,FORM Volt,0,0.0,0.0
10,B0CVQVLC8L,FORM,FORM 48 Volt Golf Cart Battery Charger for Club Ca,299.95,516,4.4,FORM Volt,0,0.0,0.0
11,B085QNYKK5,Open Goaaal,Open Goaaal Soccer Goal Net & Soccer Backstop Net ,279.99,559,4.3,Open Goaaal Soccer,170,27.55,192.45
14,B0CQ7L4RMM,DOVOH,DOVOH 360 Laser Level Self Leveling : Heavy Duty 3,249.99,22,4.8,DOVOH 360,0,0.0,0.0
15,B0CWSCD9C9,FORM,FORM 48 Volt Golf Cart Battery Charger for Yamaha ,249.95,262,4.6000000000000005,FORM Volt,0,0.0,0.0
16,B0D9C18N2T,FORM,FORM 36 Volt Golf Cart Battery Charger EZGO Marath,249.95,91,4.3,FORM Volt,0,0.0,0.0
17,B0D9C1PTFT,FORM,FORM 48 Volt Golf Cart Battery Charger for Yamaha ,249.95,171,4.5,FORM Volt,0,0.0,0.0
18,B085RHRC26,Open Goaaal,Open Goaaal Soccer Goal Net & Soccer Backstop Net ,239.99,559,4.3,Open Goaaal Soccer,170,27.55,192.45
19,B07KPNK69R,Open Goaaal,Open Goaaal - Soccer Rebounder/Goal/Backstop All-i,224.0,558,4.3,Open Goaaal Soccer,170,27.55,192.45
22,B0CXBRXD4G,PIURIFY,PIURIFY Hydrogen Water Bottle. Food Grade Body Tum,139.99,124,4.5,PIURIFY Hydrogen,10,44.82,242.0
23,B01N2LP1I0,FAJAS DISENOS D'PRADA,DELIÉ 010 High Compression Girdle for Women Fajas ,113.0,1625,4.2,FAJAS DISENOS D'PRADA DELIÉ,0,0.0,0.0
24,B0CN6962N1,CKLT,"Heavy Duty Fire Pit Tools Set with 40"" Fire Poker ",109.99,613,4.8,CKLT Heavy,0,0.0,0.0
